unit_id,goal_actual,mes_classificado,name,tamanho,condominio,chave,mes,receita_projetada,receita_mensal_real,ocupacao,dias,HOA,Property Management,Utilities,dias_ocupados,adr,revpar,commission_fee_20,despesas_outras_anuais,despesas_anuais,lucro_mensal
476863,2232.0,05.May,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,May,2232.0,2232.0,0.6,31,6000.0,1800.0,4248.0,18.599999999999998,120.00000000000001,72.0,6020.8,12048.0,18068.8,726.2666666666667
476863,3055.0,06.Jun,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Jun,3055.0,3055.0,0.75,30,6000.0,1800.0,4248.0,22.5,135.77777777777777,101.83333333333333,6020.8,12048.0,18068.8,1549.2666666666667
476863,2779.0,07.Jul,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Jul,2779.0,2779.0,0.8,31,6000.0,1800.0,4248.0,24.8,112.05645161290322,89.64516129032258,6020.8,12048.0,18068.8,1273.2666666666667
476863,2470.0,08.Aug,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Aug,2470.0,2470.0,0.7,31,6000.0,1800.0,4248.0,21.7,113.82488479262673,79.6774193548387,6020.8,12048.0,18068.8,964.2666666666667
476863,1500.0,09.Sep,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Sep,1500.0,1500.0,0.6,30,6000.0,1800.0,4248.0,18.0,83.33333333333333,50.0,6020.8,12048.0,18068.8,-5.7333333333333485
476863,2232.0,10.Oct,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Oct,2232.0,2232.0,0.7,31,6000.0,1800.0,4248.0,21.7,102.85714285714286,72.0,6020.8,12048.0,18068.8,726.2666666666667
476863,2318.0,11.Nov,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Nov,2318.0,2318.0,0.7,30,6000.0,1800.0,4248.0,21.0,110.38095238095238,77.26666666666667,6020.8,12048.0,18068.8,812.2666666666667
476863,2940.0,12.Dec,"1169 CD - Game Room Condo: Pool, Disney Nearby",2 BDR,CHAMPIONS GATE,CHAMPIONS GATE 2 BDR,Dec,2940.0,2940.0,0.7,31,6000.0,1800.0,4248.0,21.7,135.48387096774195,94.83870967741936,6020.8,12048.0,18068.8,1434.2666666666667
341242,4680.0,01.Jan,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Jan,4680.0,4680.0,0.75,31,6000.0,1800.0,10872.0,23.25,201.29032258064515,150.96774193548387,12604.6,18672.0,31276.6,2073.616666666667
341242,3997.0,02.Feb,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Feb,3997.0,3997.0,0.75,28,6000.0,1800.0,10872.0,21.0,190.33333333333334,142.75,12604.6,18672.0,31276.6,1390.6166666666668
